cp_id,reserve,amount,old_payment_date,new_payment_date,old_payment_method,new_payment_method,old_payment_key,new_payment_key,old_source,new_source,clear_payment_client,reason
8454,007867,206.26,2025-07-24,2013-04-30,bank_transfer,unknown,0007946,0007930,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8455,007696,250.0,2025-07-24,2013-04-30,bank_transfer,unknown,0007948,0007932,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8456,007363,392.5,2025-07-24,2013-04-30,bank_transfer,unknown,0007951,0007935,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8459,007834,150.0,2025-07-24,2013-04-19,bank_transfer,unknown,0007920,0007904,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8460,007426,1000.0,2025-07-24,2013-04-29,bank_transfer,unknown,0007944,0007928,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8462,007526,1150.0,2025-07-24,2013-04-30,bank_transfer,unknown,0007954,0007938,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8466,006403,165.0,2025-07-24,2013-02-28,bank_transfer,unknown,0007964,0007667,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8467,007855,529.58,2025-07-24,2013-04-30,bank_transfer,unknown,0007947,0007931,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8470,008038,308.8,2025-07-24,2013-06-10,bank_transfer,unknown,0008246,0008118,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8471,008052,548.5,2025-07-24,2013-06-12,bank_transfer,unknown,0008264,0008141,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8473,005958,250.0,2025-07-24,2013-02-28,bank_transfer,unknown,0007983,0007684,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8474,007849,377.47,2025-07-24,2013-04-30,bank_transfer,unknown,0007953,0007937,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8475,006096,231.0,2025-07-24,2013-02-28,bank_transfer,unknown,0007973,0007675,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8476,007463,171.0,2025-07-24,2013-03-01,bank_transfer,unknown,0007990,0007691,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8477,008045,500.0,2025-07-24,2013-06-10,bank_transfer,unknown,0008246,0008120,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8478,008004,414.5,2025-07-24,2013-06-10,bank_transfer,unknown,0008246,0008119,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
